iata,icao,airport_name,location_served
YFO,CYFO,flin_flon_airport,flin_flon__manitoba__canada
YFR,CYFR,fort_resolution_airport,fort_resolution__northwest_territories__canada
YFS,CYFS,fort_simpson_airport,fort_simpson__northwest_territories__canada
YFT,,taipa_ferry_terminal,taipa__macau
YFX,,st._lewis_(fox_harbour)_airport_(tc:_cckdapi),st._lewis__newfoundland_and_labrador__canada
YGB,CYGB,texada/gillies_bay_airport,gillies_bay__british_columbia__canada
YGC,,grande_cache_airport_(tc:_ceqdapi),grande_cache__alberta__canada
YGE,,gorge_harbour_water_aerodrome,gorge_harbour__british_columbia__canada
YGG,,ganges_water_aerodrome_(tc:_caxdapi),ganges__british_columbia__canada
YGH,CYGH,fort_good_hope_airport,fort_good_hope__northwest_territories__canada
YGJ,RJOH,miho–yonago_airport,yonago__honshu__japan
YGK,CYGK,kingston/norman_rogers_airport,kingston__ontario__canada
YGL,CYGL,la_grande_rivière_airport,radisson__quebec__canada
YGM,CYGM,gimli_industrial_park_airport,gimli__manitoba__canada
YGN,,greenway_sound_water_aerodrome,greenway_sound__british_columbia__canada
YGO,CYGO,gods_lake_narrows_airport,gods_lake_narrows__manitoba__canada
YGP,CYGP,michel-pouliot_gaspé_airport,gaspé__quebec__canada
YGQ,CYGQ,geraldton_(greenstone_regional)_airport,greenstone_(geraldton)__ontario__canada
YGR,CYGR,îles-de-la-madeleine_airport,les_îles-de-la-madeleine__quebec__canada
YGT,CYGT,igloolik_airport,igloolik__nunavut__canada
YGV,CYGV,havre_saint-pierre_airport,havre-saint-pierre__quebec__canada
YGW,CYGW,kuujjuarapik_airport,kuujjuarapik__quebec__canada
YGX,CYGX,gillam_airport,gillam__manitoba__canada
YGZ,CYGZ,grise_fiord_airport,grise_fiord__nunavut__canada
YHA,,port_hope_simpson_airport_(tc:_ccpdapi),port_hope_simpson__newfoundland_and_labrador__canada
YHB,CYHB,hudson_bay_airport,hudson_bay__saskatchewan__canada
YHC,,hakai_passage_water_aerodrome,hakai_passage__british_columbia__canada
YHD,CYHD,dryden_regional_airport,dryden__ontario__canada
YHE,CYHE,hope_aerodrome,hope__british_columbia__canada
YHF,CYHF,hearst_(rené_fontaine)_municipal_airport,hearst__ontario__canada
YHG,,charlottetown_airport_(tc:_cchdapi),charlottetown__newfoundland_and_labrador__canada
YHH,,campbell_river_water_aerodrome_(tc:_caedapi),campbell_river__british_columbia__canada
YHI,CYHI,ulukhaktok/holman_airport,ulukhaktok__northwest_territories__canada
YHK,CYHK,gjoa_haven_airport,gjoa_haven__nunavut__canada
YHM,CYHM,john_c._munro_hamilton_international_airport,hamilton__ontario__canada
YHN,CYHN,hornepayne_municipal_airport,hornepayne__ontario__canada
YHO,CYHO,hopedale_airport,hopedale__newfoundland_and_labrador__canada
YHP,CYHP,poplar_hill_airport,poplar_hill__ontario__canada
YHR,CYHR,chevery_airport,chevery__quebec__canada
YHS,,sechelt_aerodrome_(tc:_capdapi),sechelt__british_columbia__canada
YHT,CYHT,haines_junction_airport,haines_junction__yukon__canada
YHU,CYHU,montréal/saint-hubert_airport,montreal__quebec__canada
YHY,CYHY,hay_river/merlyn_carter_airport,hay_river__northwest_territories__canada
YHZ,CYHZ,halifax_stanfield_international_airport,halifax__nova_scotia__canada
YIA,WAHI,yogyakarta_international_airport,kulon_progo_regency__special_region_of_yogyakarta__indonesia
YIB,CYIB,atikokan_municipal_airport,atikokan__ontario__canada
YIC,ZSYC,yichun_mingyueshan_airport,yichun__jiangxi__china
YIE,ZBES,arxan_yi'ershi_airport,arxan_(aershan)__inner_mongolia__china
YIF,CYIF,saint-augustin_airport,saint-augustin_/_pakuashipi__quebec__canada
YIG,,big_bay_water_aerodrome_(tc:_cafdapi),stuart_island__british_columbia__canada
YIH,ZHYC,yichang_sanxia_airport,yichang__hubei__china
YIK,CYIK,ivujivik_airport,ivujivik__quebec__canada
YIN,ZWYN,yining_airport,yining_(ghulja)__xinjiang__china
YIO,CYIO,pond_inlet_airport,pond_inlet__nunavut__canada
YIP,KYIP,willow_run_airport,detroit__michigan__united_states
YIV,CYIV,island_lake_airport_(garden_hill_airport),island_lake_/_garden_hill__manitoba__canada
YIW,ZSYW,yiwu_airport,yiwu__zhejiang__china
YJA,CYJA,jasper_airport,jasper__alberta__canada
YJF,CYJF,fort_liard_airport,fort_liard__northwest_territories__canada
YJN,CYJN,saint-jean_airport,saint-jean-sur-richelieu__quebec__canada
YJP,,hinton/jasper-hinton_airport_(tc:_cecdapi),hinton__alberta__canada
YJS,ZKSE,samjiyon_airport[dapi],samjiyon__north_korea
YJT,CYJT,stephenville_international_airport,stephenville__newfoundland_and_labrador__canada
YKA,CYKA,kamloops_airport,kamloops__british_columbia__canada
YKC,CYKC,collins_bay_airport,collins_bay__saskatchewan__canada
YKD,CYKM,kincardine_municipal_airport,kincardine__ontario__canada
YKE,,knee_lake_airport_(tc:_cjtdapi),knee_lake__manitoba__canada
YKF,CYKF,region_of_waterloo_international_airport,kitchener_/_cambridge_/_waterloo__ontario__canada
YKG,CYAS,kangirsuk_airport,kangirsuk__quebec__canada
YKH,ZYYK,yingkou_lanqi_airport,yingkou__liaoning__china
YKJ,CYKJ,key_lake_airport[dapi],key_lake__saskatchewan__canada
YKK,,kitkatla_water_aerodrome_(tc:_capdapi),kitkatla__british_columbia__canada
YKL,CYKL,schefferville_airport,schefferville__quebec__canada
YKM,KYKM,yakima_air_terminal_(mcallister_field),yakima__washington__united_states
YKN,KYKN,chan_gurney_municipal_airport,yankton__south_dakota__united_states
YKO,LTCW,hakkari_yüksekova_airport[dapi],hakkâri_/_yüksekova__turkey
YKQ,CYKQ,waskaganish_airport,waskaganish__quebec__canada
YKS,UEEE,yakutsk_airport,yakutsk__yakutia__russia
YKT,,klemtu_water_aerodrome,klemtu__british_columbia__canada
YKU,,chisasibi_airport_(tc:_csudapi),chisasibi__quebec__canada
YKX,CYKX,kirkland_lake_airport,kirkland_lake__ontario__canada
YKY,CYKY,kindersley_regional_airport,kindersley__saskatchewan__canada
YKZ,CYKZ,buttonville_municipal_airport,toronto__ontario__canada
YLB,CYLB,lac_la_biche_airport,lac_la_biche__alberta__canada
YLC,CYLC,kimmirut_airport,kimmirut__nunavut__canada
YLD,CYLD,chapleau_airport,chapleau__ontario__canada
YLE,,whatì_airport_(tc:_cemdapi),whatì__northwest_territories__canada
YLG,YYAL,yalgoo_airport,yalgoo__western_australia__australia
YLH,CYLH,lansdowne_house_airport,neskantaga_(lansdowne_house_indian_band)__ontario__canada
YLI,EFYL,ylivieska_airfield,ylivieska__finland
YLJ,CYLJ,meadow_lake_airport,meadow_lake__saskatchewan__canada
YLK,CYLS,lake_simcoe_regional_airport[dapi],barrie_/_orillia__ontario__canada
YLL,CYLL,lloydminster_airport,lloydminster__alberta/saskatchewan_dapi_canada
YLM,,clinton_creek_airport[dapi],clinton_creek__yukon__canada
YLN,ZYYL,yilan_airport,yilan__heilongjiang__china
YLP,CYLP,mingan_airport,mingan__quebec__canada
YLQ,CYLQ,la_tuque_airport,la_tuque__quebec__canada
YLR,CYLR,leaf_rapids_airport,leaf_rapids__manitoba__canada
YLS,,lebel-sur-quévillon_airport_(tc:_cshdapi),lebel-sur-quévillon__quebec__canada
YLT,CYLT,alert_airport,alert__nunavut__canada
YLV,UBEE,yevlakh_airport[dapi],yevlakh__azerbaijan
YLW,CYLW,kelowna_international_airport,kelowna__british_columbia__canada
YLX,,yulin_fumian_airport,yulin__guangxi__china
YLY,CYNJ,langley_regional_airport[dapi],langley__british_columbia__canada
YMA,CYMA,mayo_airport,mayo__yukon__canada
YMB,,merritt_airport_(tc:_caddapi),merritt__british_columbia__canada
YMD,CYMD,mould_bay_airport,prince_patrick_island__northwest_territories__canada
YME,CYME,matane_airport,matane__quebec__canada
YMF,,montague_harbour_water_aerodrome,galiano_island__british_columbia__canada
YMG,CYMG,manitouwadge_airport,manitouwadge__ontario__canada
YMH,CYMH,mary's_harbour_airport,mary's_harbour__newfoundland_and_labrador__canada
YMJ,CYMJ,cfb_moose_jaw_(c.m._mcewen_airport),moose_jaw__saskatchewan__canada
YMK,USDK,mys-kamenny_airport[dapi],mys-kamenny__yamalo-nenets_autonomous_okrug__russia
YML,CYML,charlevoix_airport,la_malbaie__quebec__canada
YMM,CYMM,fort_mcmurray_international_airport,fort_mcmurray__alberta__canada
YMN,CYFT,makkovik_airport,makkovik__newfoundland_and_labrador__canada
YMO,CYMO,moosonee_airport,moosonee__ontario__canada
YMP,,port_mcneill_airport_(tc:_catdapi),port_mcneill__british_columbia__canada
YMQ[DAPI],,metropolitan_areadapi,montreal__quebec__canada
YMS,SPMS,moisés_benzaquén_rengifo_airport,yurimaguas__peru
YMT,CYMT,chibougamau/chapais_airport,chibougamau__quebec__canada
YMU,,mansons_landing_water_aerodrome[dapi]_(tc:_cavdapi),mansons_landing__british_columbia__canada
YMV,,mary_river_aerodrome[dapi]_(tc:_cmrdapi),mary_river__nunavut__canada
YMW,CYMW,maniwaki_airport,maniwaki__quebec__canada
YMX,CYMX,montréal–mirabel_international_airport,montreal__quebec__canada
YNA,CYNA,natashquan_airport,natashquan__quebec__canada
YNB,OEYN,yanbu_airport_(yenbo_airport),yanbu_al_bahr_(yenbo)__saudi_arabia
YNC,CYNC,wemindji_airport,wemindji__quebec__canada
YND,CYND,gatineau-ottawa_executive_airport,gatineau_/_ottawa_(on)__quebec__canada
YNE,CYNE,norway_house_airport,norway_house__manitoba__canada
YNG,KYNG,youngstown–warren_regional_airport,youngstown_/_warren__ohio__united_states
YNH,CYNH,hudson's_hope_airport,hudson's_hope__british_columbia__canada
YNJ,ZYYJ,yanji_chaoyangchuan_airport,yanji__jilin__china
YNL,CYNL,points_north_landing_airport,points_north_landing__saskatchewan__canada
YNM,CYNM,matagami_airport,matagami__quebec__canada
YNN,,yandicoogina_airport[dapi],yandicoogina__western_australia__australia
YNO,,north_spirit_lake_airport_(tc:_ckqdapi),north_spirit_lake__ontario__canada
YNP,,natuashish_airport[dapi]_(tc:_cnhdapi),natuashish__newfoundland_and_labrador__canada
YNS,CYHH,nemiscau_airport,nemiscau__quebec__canada
YNT,ZSYT,yantai_penglai_international_airport,yantai__shandong__china
YNX,,snap_lake_airport[dapi]_(tc:_cskdapi),snap_lake__northwest_territories__canada
YNY,RKNY,yangyang_international_airport[dapi],yangyang__south_korea
YNZ,ZSYN,yancheng_nanyang_international_airport,yancheng__jiangsu__china
YOA,CYOA,ekati_airport[dapi],ekati__northwest_territories__canada
YOC,CYOC,old_crow_airport,old_crow__yukon__canada
YOD,CYOD,cfb_cold_lake_(r.w._mcnair_airport),cold_lake__alberta__canada
YOE,,donnelly_airport_(tc:_cfmdapi),donnelly__alberta__canada
YOG,CYKP,ogoki_post_airport,marten_falls_(ogoki)__ontario__canada
YOH,CYOH,oxford_house_airport,oxford_house__manitoba__canada
YOI,,opinaca_aerodrome[dapi]_(tc:_cpndapi),opinaca__quebec__canada
YOJ,CYOJ,high_level_airport,high_level__alberta__canada
YOL,DNYO,yola_airport,yola__nigeria
YON,VQTY,yongphulla_airport[dapi]_(yonphula_airport),trashigang__bhutan
YOO,CYOO,oshawa_airport,oshawa__ontario__canada
YOP,CYOP,rainbow_lake_airport,rainbow_lake__alberta__canada
YOS,CYOS,billy_bishop_regional_airport,owen_sound__ontario__canada
YOT,LLYT,yotvata_airfield,yotvata__israel
YOW,CYOW,ottawa_macdonald–cartier_international_airport,ottawa__ontario__canada
YPA,CYPA,prince_albert_(glass_field)_airport,prince_albert__saskatchewan__canada
YPB,,alberni_valley_regional_airport_(tc:_cbsdapi),port_alberni__british_columbia__canada
YPC,CYPC,nora_aliqatchialuk_ruben_airport,paulatuk__northwest_territories__canada
YPD,,parry_sound_area_municipal_airport_(tc:_cnkdapi),parry_sound__ontario__canada
YPE,CYPE,peace_river_airport,peace_river__alberta__canada
YPG,CYPG,portage_la_prairie/southport_airport,portage_la_prairie__manitoba__canada
YPH,CYPH,inukjuak_airport,inukjuak__quebec__canada
YPI,,port_simpson_water_aerodrome_(tc:_candapi),lax_kw'alaams_(port_simpson)__british_columbia__canada
YPJ,CYLA,aupaluk_airport,aupaluk__quebec__canada
YPL,CYPL,pickle_lake_airport,pickle_lake__ontario__canada
YPM,CYPM,pikangikum_airport,pikangikum__ontario__canada
YPN,CYPN,port-menier_airport,port-menier__quebec__canada
YPO,CYPO,peawanuck_airport,peawanuck__ontario__canada
YPQ,CYPQ,peterborough_airport,peterborough__ontario__canada
YPR,CYPR,prince_rupert_airport,prince_rupert__british_columbia__canada
YPS,CYPD,port_hawkesbury_airport,port_hawkesbury__nova_scotia__canada
YPT,,pender_harbour_water_aerodrome_(tc:_cagdapi),pender_harbour__british_columbia__canada
YPW,CYPW,powell_river_airport,powell_river__british_columbia__canada
YPX,CYPX,puvirnituq_airport,puvirnituq__quebec__canada
YPY,CYPY,fort_chipewyan_airport,fort_chipewyan__alberta__canada
YPZ,CYPZ,burns_lake_airport,burns_lake__british_columbia__canada
YQA,CYQA,muskoka_airport,muskoka__ontario__canada
YQB,CYQB,québec_city_jean_lesage_international_airport,quebec_city__quebec__canada
YQC,CYHA,quaqtaq_airport,quaqtaq__quebec__canada
YQD,CYQD,the_pas_airport,the_pas__manitoba__canada
YQF,CYQF,red_deer_regional_airport,red_deer__alberta__canada
YQG,CYQG,windsor_international_airport,windsor__ontario__canada
YQH,CYQH,watson_lake_airport,watson_lake__yukon__canada
YQI,CYQI,yarmouth_airport,yarmouth__nova_scotia__canada
YQJ,,april_point_water_aerodrome[dapi],quadra_island__british_columbia__canada
YQK,CYQK,kenora_airport,kenora__ontario__canada
YQL,CYQL,lethbridge_airport,lethbridge__alberta__canada
YQM,CYQM,greater_moncton_international_airport,moncton__new_brunswick__canada
YQN,CYQN,nakina_airport,greenstone_(nakina)__ontario__canada
YQQ,CYQQ,cfb_comox,comox__british_columbia__canada
YQR,CYQR,regina_international_airport,regina__saskatchewan__canada
YQS,CYQS,st._thomas_municipal_airport,st._thomas__ontario__canada
YQT,CYQT,thunder_bay_international_airport,thunder_bay__ontario__canada
YQU,CYQU,grande_prairie_airport,grande_prairie__alberta__canada
YQV,CYQV,yorkton_municipal_airport,yorkton__saskatchewan__canada
YQW,CYQW,north_battleford_airport_(cameron_mcintosh_airport),north_battleford__saskatchewan__canada
YQX,CYQX,gander_international_airport_/_cfb_gander,gander__newfoundland_and_labrador__canada
YQY,CYQY,sydney/j.a._douglas_mccurdy_airport,sydney__nova_scotia__canada
YQZ,CYQZ,quesnel_airport,quesnel__british_columbia__canada
YRA,CYRA,gamètì/rae_lakes_airport,gamèti__northwest_territories__canada
YRB,CYRB,resolute_bay_airport,resolute__nunavut__canada
YRC,,refuge_cove_water_aerodrome[dapi],refuge_cove__british_columbia__canada
YRD,,dean_river_airport,dean_river__british_columbia__canada
YRF,CYCA,cartwright_airport,cartwright__newfoundland_and_labrador__canada
YRG,,rigolet_airport_(tc:_cczdapi),rigolet__newfoundland_and_labrador__canada
YRI,CYRI,rivière-du-loup_airport,rivière-du-loup__quebec__canada
YRJ,CYRJ,roberval_airport,roberval__quebec__canada
YRL,CYRL,red_lake_airport,red_lake__ontario__canada
YRM,CYRM,rocky_mountain_house_airport,rocky_mountain_house__alberta__canada
YRN,,rivers_inlet_water_aerodrome_(tc:_caudapi),rivers_inlet__british_columbia__canada
YRO,CYRO,ottawa/rockcliffe_airport,ottawa__ontario__canada
YRQ,CYRQ,trois-rivières_airport,trois-rivières__quebec__canada
YRR,,stuart_island_airport,stuart_island__british_columbia__canada
YRS,CYRS,red_sucker_lake_airport,red_sucker_lake__manitoba__canada
YRT,CYRT,rankin_inlet_airport,rankin_inlet__nunavut__canada
YRV,CYRV,revelstoke_airport,revelstoke__british_columbia__canada
YSA,,sable_island_aerodrome,sable_island__nova_scotia__canada
YSB,CYSB,sudbury_airport,greater_sudbury__ontario__canada
YSC,CYSC,sherbrooke_airport,sherbrooke__quebec__canada
YSE,CYSE,squamish_airport,squamish__british_columbia__canada
YSF,CYSF,stony_rapids_airport,stony_rapids__saskatchewan__canada
YSG,CYLK,lutselk'e_airport,lutselk'e__northwest_territories__canada
YSH,CYSH,smiths_falls-montague_airport,smiths_falls__ontario__canada
YSI,,parry_sound/frying_pan_island-sans_souci_water_aerodrome_(tc:_cpsdapi),fryingpan_island__ontario__canada
YSJ,CYSJ,saint_john_airport,saint_john__new_brunswick__canada
YSK,CYSK,sanikiluaq_airport,sanikiluaq__nunavut__canada
YSL,CYSL,saint-léonard_aerodrome,saint-léonard__new_brunswick__canada
YSM,CYSM,fort_smith_airport,fort_smith__northwest_territories__canada
YSN,CZAM,salmon_arm_airport,salmon_arm
